username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
RepSlotkin,2023-04-05 01:22:07+00:00,5,Border/community/family,0.6498776,positive,0.8590087890625,optimism,0.5256978273391724,8.0,Infrastructure/job/energy,0.1224057,"Finland’s accession to NATO is a triumph for U.S. &amp; European security, democracy, &amp; the rules-based world order. Finland is a key U.S. ally with strong military capabilities – their addition will strengthen the alliance at a key moment as Russia continues its war against Ukraine.",finland accession nato triumph  european security democracy rule based world order finland key  ally strong military capability addition strengthen alliance key moment russia continues war ukraine,"[('russia', [5, 2]), ('security', [5, 8]), ('democracy', [5, 7]), ('military', [5, 7]), ('war', [5, 2]), ('world', [5, 2]), ('ukraine', [5, 2]), ('capability', [5]), ('order', [5, 7]), ('triumph', [7]), ('rule', [5, 7]), ('moment', [5, 2]), ('based', [5, 7]), ('alliance', [5, 8]), ('ally', [5, 2]), ('continues', [5, 7]), ('addition', [5]), ('strong', [5, 8]), ('key', [5, 8]), ('strengthen', [8, 5]), ('nato', [5, 2]), ('european', [2]), ('finland', [5]), ('accession', [8])]","[('russia', ['Border/community/family', 'War']), ('security', ['Border/community/family', 'Infrastructure/job/energy']), ('democracy', ['Border/community/family', 'Abortion/rights/guns']), ('military', ['Border/community/family', 'Abortion/rights/guns']), ('war', ['Border/community/family', 'War']), ('world', ['Border/community/family', 'War']), ('ukraine', ['Border/community/family', 'War']), ('capability', ['Border/community/family']), ('order', ['Border/community/family', 'Abortion/rights/guns']), ('triumph', ['Abortion/rights/guns']), ('rule', ['Border/community/family', 'Abortion/rights/guns']), ('moment', ['Border/community/family', 'War']), ('based', ['Border/community/family', 'Abortion/rights/guns']), ('alliance', ['Border/community/family', 'Infrastructure/job/energy']), ('ally', ['Border/community/family', 'War']), ('continues', ['Border/community/family', 'Abortion/rights/guns']), ('addition', ['Border/community/family']), ('strong', ['Border/community/family', 'Infrastructure/job/energy']), ('key', ['Border/community/family', 'Infrastructure/job/energy']), ('strengthen', ['Infrastructure/job/energy', 'Border/community/family']), ('nato', ['Border/community/family', 'War']), ('european', ['War']), ('finland', ['Border/community/family']), ('accession', ['Infrastructure/job/energy'])]"
RepSlotkin,2023-04-05 01:22:08+00:00,5,Border/community/family,0.5510784,positive,0.8323055505752563,joy,0.5011367797851562,8.0,Infrastructure/job/energy,0.25551486,I was able to visit Finland on a bipartisan Congressional delegation in December for meetings with leaders including the Defense Minister to see their impressive capabilities firsthand and to discuss new opportunities for security cooperation with the U.S.,able visit finland bipartisan congressional delegation december meeting leader including defense minister impressive capability firsthand discus opportunity security cooperation ,"[('security', [5, 8]), ('able', [5, 8]), ('defense', [5, 8]), ('capability', [5]), ('opportunity', [5, 8]), ('minister', [5, 8]), ('including', [5, 8]), ('meeting', [5, 8]), ('leader', [5, 8]), ('congressional', [5, 6]), ('bipartisan', [8, 5]), ('discus', [8, 5]), ('cooperation', [5, 8]), ('december', [6, 5]), ('impressive', [6]), ('visit', [5, 8]), ('firsthand', [5, 8]), ('delegation', [8, 6]), ('finland', [5])]","[('security', ['Border/community/family', 'Infrastructure/job/energy']), ('able', ['Border/community/family', 'Infrastructure/job/energy']), ('defense', ['Border/community/family', 'Infrastructure/job/energy']), ('capability', ['Border/community/family']), ('opportunity', ['Border/community/family', 'Infrastructure/job/energy']), ('minister', ['Border/community/family', 'Infrastructure/job/energy']), ('including', ['Border/community/family', 'Infrastructure/job/energy']), ('meeting', ['Border/community/family', 'Infrastructure/job/energy']), ('leader', ['Border/community/family', 'Infrastructure/job/energy']), ('congressional', ['Border/community/family', 'Election/debate']), ('bipartisan', ['Infrastructure/job/energy', 'Border/community/family']), ('discus', ['Infrastructure/job/energy', 'Border/community/family']), ('cooperation', ['Border/community/family', 'Infrastructure/job/energy']), ('december', ['Election/debate', 'Border/community/family']), ('impressive', ['Election/debate']), ('visit', ['Border/community/family', 'Infrastructure/job/energy']), ('firsthand', ['Border/community/family', 'Infrastructure/job/energy']), ('delegation', ['Infrastructure/job/energy', 'Election/debate']), ('finland', ['Border/community/family'])]"
gillibrandny,2023-04-05 02:02:57+00:00,5,Border/community/family,0.36412698,positive,0.9843552112579346,joy,0.8960519433021545,8.0,Infrastructure/job/energy,0.3440365,"I've been working alongside AANHPI leaders for years to help communities thrive, and today I was proud to convene an AANHPI Stakeholders Summit in NYC. Thank you for this productive conversation and for your thoughtful insights as we continue our work for AANHPI communities! https://t.co/IGJi3GZRml",working alongside aanhpi leader year help community thrive today proud convene aanhpi stakeholder summit nyc thank productive conversation thoughtful insight continue work aanhpi community,"[('today', [5, 8]), ('year', [5, 8]), ('work', [8, 5]), ('help', [8, 5]), ('proud', [8, 5]), ('working', [8, 1]), ('nyc', [5]), ('conversation', [8, 5]), ('community', [8, 5]), ('continue', [5, 8]), ('leader', [5, 8]), ('thank', [5, 8]), ('alongside', [5, 8]), ('thrive', [8, 5]), ('summit', [5, 8]), ('stakeholder', [1]), ('productive', [8, 1]), ('insight', [3, 5]), ('thoughtful', [5]), ('convene', [2]), ('aanhpi', [3])]","[('today', ['Border/community/family', 'Infrastructure/job/energy']), ('year', ['Border/community/family', 'Infrastructure/job/energy']), ('work', ['Infrastructure/job/energy', 'Border/community/family']), ('help', ['Infrastructure/job/energy', 'Border/community/family']), ('proud', ['Infrastructure/job/energy', 'Border/community/family']), ('working', ['Infrastructure/job/energy', 'American/economics/health']), ('nyc', ['Border/community/family']), ('conversation', ['Infrastructure/job/energy', 'Border/community/family']), ('community', ['Infrastructure/job/energy', 'Border/community/family']), ('continue', ['Border/community/family', 'Infrastructure/job/energy']), ('leader', ['Border/community/family', 'Infrastructure/job/energy']), ('thank', ['Border/community/family', 'Infrastructure/job/energy']), ('alongside', ['Border/community/family', 'Infrastructure/job/energy']), ('thrive', ['Infrastructure/job/energy', 'Border/community/family']), ('summit', ['Border/community/family', 'Infrastructure/job/energy']), ('stakeholder', ['American/economics/health']), ('productive', ['Infrastructure/job/energy', 'American/economics/health']), ('insight', ['News/radio/livestream', 'Border/community/family']), ('thoughtful', ['Border/community/family']), ('convene', ['War']), ('aanhpi', ['News/radio/livestream'])]"
Redistrict,2023-04-05 15:00:23+00:00,5,Border/community/family,0.41149276,neutral,0.8165647387504578,anticipation,0.5655266046524048,6.0,Election/debate,0.38643324,"NEW: @CookPolitical is releasing historical PVI values for every Congress since 1997 to show how America's districts have changed. For one, swing seats have plummeted from 164 to 82 (-50%) in the last 24 years. Full report: https://t.co/o2UbdcZBvm https://t.co/mbyYmCMcUm",releasing historical pvi value congress america  district changed swing seat plummeted year,"[('year', [5, 6]), ('congress', [7, 6]), ('america', [5, 6]), ('historical', [6]), ('changed', [5, 6]), ('releasing', [5]), ('district', [6, 7]), ('swing', [6]), ('value', [5, 6]), ('seat', [6]), ('pvi', [7]), ('plummeted', [5])]","[('year', ['Border/community/family', 'Election/debate']), ('congress', ['Abortion/rights/guns', 'Election/debate']), ('america', ['Border/community/family', 'Election/debate']), ('historical', ['Election/debate']), ('changed', ['Border/community/family', 'Election/debate']), ('releasing', ['Border/community/family']), ('district', ['Election/debate', 'Abortion/rights/guns']), ('swing', ['Election/debate']), ('value', ['Border/community/family', 'Election/debate']), ('seat', ['Election/debate']), ('pvi', ['Abortion/rights/guns']), ('plummeted', ['Border/community/family'])]"
SenatorTimScott,2023-04-05 15:18:20+00:00,5,Border/community/family,0.5212267,negative,0.6802572011947632,sadness,0.9419188499450684,8.0,Infrastructure/job/energy,0.164204,"Military spouses often pay the silent price of combat. I cannot begin to imagine the pain of losing a loved one in service of our country. To all our Gold Star Spouses and family members, thank you for your sacrifice on behalf of our nation. #GoldStarSpousesDay https://t.co/jcAuMv3t2O",military spouse pay silent price combat begin imagine pain losing loved service country gold star spouse family member thank sacrifice behalf nation,"[('military', [5, 1]), ('losing', [5, 1]), ('country', [5, 1]), ('imagine', [4, 8]), ('member', [5, 8]), ('service', [5, 1]), ('family', [5, 1]), ('pay', [1, 5]), ('behalf', [5, 4]), ('gold', [4, 8]), ('spouse', [8]), ('nation', [5, 8]), ('thank', [5, 8]), ('begin', [5, 1]), ('star', [5, 4]), ('price', [1, 5]), ('silent', [2, 4]), ('combat', [5, 1]), ('loved', [5, 1]), ('sacrifice', [5]), ('pain', [5, 1])]","[('military', ['Border/community/family', 'American/economics/health']), ('losing', ['Border/community/family', 'American/economics/health']), ('country', ['Border/community/family', 'American/economics/health']), ('imagine', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('member', ['Border/community/family', 'Infrastructure/job/energy']), ('service', ['Border/community/family', 'American/economics/health']), ('family', ['Border/community/family', 'American/economics/health']), ('pay', ['American/economics/health', 'Border/community/family']), ('behalf', ['Border/community/family', 'Republicans vs democrats']), ('gold', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('spouse', ['Infrastructure/job/energy']), ('nation', ['Border/community/family', 'Infrastructure/job/energy']), ('thank', ['Border/community/family', 'Infrastructure/job/energy']), ('begin', ['Border/community/family', 'American/economics/health']), ('star', ['Border/community/family', 'Republicans vs democrats']), ('price', ['American/economics/health', 'Border/community/family']), ('silent', ['War', 'Republicans vs democrats']), ('combat', ['Border/community/family', 'American/economics/health']), ('loved', ['Border/community/family', 'American/economics/health']), ('sacrifice', ['Border/community/family']), ('pain', ['Border/community/family', 'American/economics/health'])]"
RepSherrill,2023-04-05 17:49:00+00:00,5,Border/community/family,0.46831468,positive,0.9718519449234008,joy,0.8608593940734863,6.0,Election/debate,0.31582117,"RT @What a wonderful opportunity to get to know @RepSherrill last night at @RiderUniversity. Thanks for your thoughtful reflections on your work and your career, @MikieSherrill. Practical, actionable advice for our students. We know we'll be hearing much more from you in the future! https://t.co/GBHr3F1hg7",wonderful opportunity know night thanks thoughtful reflection work career practical actionable advice student know hearing future,"[('know', [6, 5]), ('work', [5, 1]), ('student', [5, 1]), ('future', [5, 6]), ('opportunity', [5, 1]), ('night', [6, 5]), ('hearing', [5, 6]), ('thanks', [6, 5]), ('advice', [5, 6]), ('career', [5, 6]), ('wonderful', [5, 6]), ('reflection', [5, 6]), ('thoughtful', [6, 5]), ('practical', [6]), ('actionable', [1])]","[('know', ['Election/debate', 'Border/community/family']), ('work', ['Border/community/family', 'American/economics/health']), ('student', ['Border/community/family', 'American/economics/health']), ('future', ['Border/community/family', 'Election/debate']), ('opportunity', ['Border/community/family', 'American/economics/health']), ('night', ['Election/debate', 'Border/community/family']), ('hearing', ['Border/community/family', 'Election/debate']), ('thanks', ['Election/debate', 'Border/community/family']), ('advice', ['Border/community/family', 'Election/debate']), ('career', ['Border/community/family', 'Election/debate']), ('wonderful', ['Border/community/family', 'Election/debate']), ('reflection', ['Border/community/family', 'Election/debate']), ('thoughtful', ['Election/debate', 'Border/community/family']), ('practical', ['Election/debate']), ('actionable', ['American/economics/health'])]"
RepHoulahan,2023-04-05 18:25:34+00:00,5,Border/community/family,0.41422844,positive,0.69572913646698,optimism,0.5909304022789001,8.0,Infrastructure/job/energy,0.34148988,"Yesterday I met w/ West Reading Mayor @SamanthaKaag, Council President Lineaweaver, @WRPolice Chief Holben &amp; first responders about recovery efforts for those affected by the RM Palmer factory explosion. I look forward to working together as our community continues to recover. https://t.co/yxnDIJjbzt",yesterday met  west reading mayor council president lineaweaver chief holben responder recovery effort affected  palmer factory explosion look forward working community continues recover,"[('explosion', [7]), ('president', [5, 8]), ('chief', [5, 7]), ('yesterday', [5, 8]), ('working', [8, 1]), ('look', [5, 8]), ('community', [8, 5]), ('mayor', [5, 8]), ('responder', [5, 8]), ('effort', [8, 5]), ('forward', [8, 5]), ('continues', [5, 8]), ('met', [5, 8]), ('recovery', [5, 8]), ('recover', [1]), ('council', [5, 8]), ('reading', [5, 8]), ('west', [8, 5]), ('affected', [5, 8]), ('factory', [8]), ('palmer', [7]), ('holben', [5, 8]), ('lineaweaver', [5, 8])]","[('explosion', ['Abortion/rights/guns']), ('president', ['Border/community/family', 'Infrastructure/job/energy']), ('chief', ['Border/community/family', 'Abortion/rights/guns']), ('yesterday', ['Border/community/family', 'Infrastructure/job/energy']), ('working', ['Infrastructure/job/energy', 'American/economics/health']), ('look', ['Border/community/family', 'Infrastructure/job/energy']), ('community', ['Infrastructure/job/energy', 'Border/community/family']), ('mayor', ['Border/community/family', 'Infrastructure/job/energy']), ('responder', ['Border/community/family', 'Infrastructure/job/energy']), ('effort', ['Infrastructure/job/energy', 'Border/community/family']), ('forward', ['Infrastructure/job/energy', 'Border/community/family']), ('continues', ['Border/community/family', 'Infrastructure/job/energy']), ('met', ['Border/community/family', 'Infrastructure/job/energy']), ('recovery', ['Border/community/family', 'Infrastructure/job/energy']), ('recover', ['American/economics/health']), ('council', ['Border/community/family', 'Infrastructure/job/energy']), ('reading', ['Border/community/family', 'Infrastructure/job/energy']), ('west', ['Infrastructure/job/energy', 'Border/community/family']), ('affected', ['Border/community/family', 'Infrastructure/job/energy']), ('factory', ['Infrastructure/job/energy']), ('palmer', ['Abortion/rights/guns']), ('holben', ['Border/community/family', 'Infrastructure/job/energy']), ('lineaweaver', ['Border/community/family', 'Infrastructure/job/energy'])]"
gillibrandny,2023-04-05 18:32:22+00:00,5,Border/community/family,0.7051269,positive,0.9840331673622132,joy,0.8316154479980469,8.0,Infrastructure/job/energy,0.24794249,Chag Sameach to everyone celebrating the start of Passover in New York and around the world! I hope that this celebration of freedom and resilience brings you and your loved ones together tonight. https://t.co/lTH9Jp6iks,chag sameach celebrating start passover york world hope celebration freedom resilience brings loved one tonight,"[('freedom', [5]), ('world', [5, 8]), ('start', [5, 8]), ('hope', [5, 8]), ('tonight', [5]), ('york', [5, 8]), ('celebrating', [5, 8]), ('loved', [5]), ('one', [5, 8]), ('celebration', [5]), ('resilience', [5]), ('brings', [5]), ('chag', [8]), ('sameach', [8]), ('passover', [8])]","[('freedom', ['Border/community/family']), ('world', ['Border/community/family', 'Infrastructure/job/energy']), ('start', ['Border/community/family', 'Infrastructure/job/energy']), ('hope', ['Border/community/family', 'Infrastructure/job/energy']), ('tonight', ['Border/community/family']), ('york', ['Border/community/family', 'Infrastructure/job/energy']), ('celebrating', ['Border/community/family', 'Infrastructure/job/energy']), ('loved', ['Border/community/family']), ('one', ['Border/community/family', 'Infrastructure/job/energy']), ('celebration', ['Border/community/family']), ('resilience', ['Border/community/family']), ('brings', ['Border/community/family']), ('chag', ['Infrastructure/job/energy']), ('sameach', ['Infrastructure/job/energy']), ('passover', ['Infrastructure/job/energy'])]"
NRSC,2023-04-05 18:55:57+00:00,5,Border/community/family,0.70786166,positive,0.4433070123195648,anticipation,0.3341464698314667,4.0,Republicans vs democrats,0.04182281,RT @aaronflint: 🤣🤣🤣 Should have been on my list...oh brother,list  brother,"[('brother', [5]), ('list', [5])]","[('brother', ['Border/community/family']), ('list', ['Border/community/family'])]"
SpeakerMcCarthy,2023-04-05 19:07:48+00:00,5,Border/community/family,0.9026256,positive,0.9795123934745787,joy,0.8747754693031311,2.0,War,0.013932434,The friendship between America and the people of Taiwan has never been stronger. It is my honor to welcome President @iingwen to the @Reagan_Library. https://t.co/2XSIJRv7Vp,friendship america people taiwan stronger honor welcome president,"[('people', [5]), ('america', [5]), ('president', [5]), ('taiwan', [5]), ('welcome', [5]), ('honor', [5]), ('stronger', [5]), ('friendship', [5])]","[('people', ['Border/community/family']), ('america', ['Border/community/family']), ('president', ['Border/community/family']), ('taiwan', ['Border/community/family']), ('welcome', ['Border/community/family']), ('honor', ['Border/community/family']), ('stronger', ['Border/community/family']), ('friendship', ['Border/community/family'])]"
