username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
NateSilver538,2023-06-14 00:35:11+00:00,4,Republicans vs democrats,0.6250502,neutral,0.6360350847244263,optimism,0.7666319608688354,8.0,Infrastructure/job/energy,0.2058587,"I mean c'mon, scientists had a lot of influence, and a lot of policies were justified by ""we're just following the science"". If I (as an influential person) advocate for an idea, people actually listen and the policy is implemented, of course I deserve credit/blame.",mean  mon scientist lot influence lot policy justified following science influential person advocate idea people actually listen policy implemented course deserve credit blame,"[('following', [4, 8]), ('person', [4, 1]), ('people', [4, 1]), ('idea', [4, 8]), ('lot', [4, 1]), ('influence', [4, 8]), ('actually', [4, 1]), ('science', [8, 4]), ('scientist', [4, 8]), ('deserve', [1, 4]), ('mean', [4, 1]), ('policy', [4, 1]), ('course', [4, 1]), ('credit', [1, 8]), ('blame', [4, 1]), ('listen', [4, 1]), ('advocate', [8, 1]), ('influential', [4]), ('implemented', [8]), ('justified', [4]), ('mon', [8])]","[('following', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('person', ['Republicans vs democrats', 'American/economics/health']), ('people', ['Republicans vs democrats', 'American/economics/health']), ('idea', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('lot', ['Republicans vs democrats', 'American/economics/health']), ('influence', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('actually', ['Republicans vs democrats', 'American/economics/health']), ('science', ['Infrastructure/job/energy', 'Republicans vs democrats']), ('scientist', ['Republicans vs democrats', 'Infrastructure/job/energy']), ('deserve', ['American/economics/health', 'Republicans vs democrats']), ('mean', ['Republicans vs democrats', 'American/economics/health']), ('policy', ['Republicans vs democrats', 'American/economics/health']), ('course', ['Republicans vs democrats', 'American/economics/health']), ('credit', ['American/economics/health', 'Infrastructure/job/energy']), ('blame', ['Republicans vs democrats', 'American/economics/health']), ('listen', ['Republicans vs democrats', 'American/economics/health']), ('advocate', ['Infrastructure/job/energy', 'American/economics/health']), ('influential', ['Republicans vs democrats']), ('implemented', ['Infrastructure/job/energy']), ('justified', ['Republicans vs democrats']), ('mon', ['Infrastructure/job/energy'])]"
RobertKennedyJr,2023-06-14 00:41:14+00:00,4,Republicans vs democrats,0.67340803,negative,0.8033273816108704,anger,0.6768064498901367,7.0,Abortion/rights/guns,0.18075655,"They knew. They lied. It wasn’t from a bat at the Wuhan Wet Market. And they knew it all along, and mocked and censored anyone who told the truth. https://t.co/VzhYf9dfXI",knew lied bat wuhan wet market knew mocked censored told truth,"[('told', [4, 7]), ('truth', [4, 7]), ('knew', [4]), ('mocked', [4]), ('wuhan', [4]), ('lied', [4]), ('market', [7]), ('wet', [7]), ('censored', [4]), ('bat', [3])]","[('told', ['Republicans vs democrats', 'Abortion/rights/guns']), ('truth', ['Republicans vs democrats', 'Abortion/rights/guns']), ('knew', ['Republicans vs democrats']), ('mocked', ['Republicans vs democrats']), ('wuhan', ['Republicans vs democrats']), ('lied', ['Republicans vs democrats']), ('market', ['Abortion/rights/guns']), ('wet', ['Abortion/rights/guns']), ('censored', ['Republicans vs democrats']), ('bat', ['News/radio/livestream'])]"
RobertKennedyJr,2023-06-14 00:42:02+00:00,4,Republicans vs democrats,0.8228525,negative,0.8917388916015625,anger,0.536376953125,1.0,American/economics/health,0.13016887,This is about more than a few corrupt individuals like Anthony Fauci. The whole system is rife with this kind of corruption. Corporate money has completely taken over our governing agencies. #Kennedy24,corrupt individual like anthony fauci system rife kind corruption corporate money completely taken governing agency,"[('taken', [4, 1]), ('money', [4, 1]), ('individual', [4, 1]), ('like', [4, 1]), ('completely', [4, 1]), ('system', [4, 1]), ('agency', [4, 1]), ('corruption', [4]), ('anthony', [4]), ('corrupt', [4]), ('fauci', [4]), ('kind', [4, 1]), ('corporate', [4, 1]), ('governing', [1]), ('rife', [4])]","[('taken', ['Republicans vs democrats', 'American/economics/health']), ('money', ['Republicans vs democrats', 'American/economics/health']), ('individual', ['Republicans vs democrats', 'American/economics/health']), ('like', ['Republicans vs democrats', 'American/economics/health']), ('completely', ['Republicans vs democrats', 'American/economics/health']), ('system', ['Republicans vs democrats', 'American/economics/health']), ('agency', ['Republicans vs democrats', 'American/economics/health']), ('corruption', ['Republicans vs democrats']), ('anthony', ['Republicans vs democrats']), ('corrupt', ['Republicans vs democrats']), ('fauci', ['Republicans vs democrats']), ('kind', ['Republicans vs democrats', 'American/economics/health']), ('corporate', ['Republicans vs democrats', 'American/economics/health']), ('governing', ['American/economics/health']), ('rife', ['Republicans vs democrats'])]"
MAGAIncWarRoom,2023-06-14 00:44:10+00:00,4,Republicans vs democrats,0.95129037,neutral,0.5860582590103149,anger,0.7963162660598755,,,,"Tucker Carlson: ""Trump is the one guy with an actual shot of becoming president who dissents from Washington’s longstanding pointless war agenda. And for that, that one fact, they are trying to take Trump out before you can vote for him."" https://t.co/2oa6FZ93WY",tucker carlson trump guy actual shot president dissent washington longstanding pointless war agenda fact trying trump vote,"[('war', [4]), ('shot', [4]), ('trump', [4]), ('vote', [4]), ('president', [4]), ('fact', [4]), ('trying', [4]), ('washington', [4]), ('guy', [4]), ('tucker', [4]), ('carlson', [4]), ('pointless', [4]), ('actual', [4]), ('agenda', [4]), ('dissent', [4]), ('longstanding', [4])]","[('war', ['Republicans vs democrats']), ('shot', ['Republicans vs democrats']), ('trump', ['Republicans vs democrats']), ('vote', ['Republicans vs democrats']), ('president', ['Republicans vs democrats']), ('fact', ['Republicans vs democrats']), ('trying', ['Republicans vs democrats']), ('washington', ['Republicans vs democrats']), ('guy', ['Republicans vs democrats']), ('tucker', ['Republicans vs democrats']), ('carlson', ['Republicans vs democrats']), ('pointless', ['Republicans vs democrats']), ('actual', ['Republicans vs democrats']), ('agenda', ['Republicans vs democrats']), ('dissent', ['Republicans vs democrats']), ('longstanding', ['Republicans vs democrats'])]"
CollinRugg,2023-06-14 00:50:21+00:00,4,Republicans vs democrats,0.96868056,negative,0.6557693481445312,anger,0.7694082260131836,,,,"BREAKING: Tucker Carlson accuses Washington Elites of trying to take Trump out because he opposes their ""longstanding pointless war agenda."" ""Trump is the one guy with an actual shot at becoming president who dissents from Washington's longstanding pointless war agenda. And for that, that one fact, they are trying to take Trump out before you can vote for him."" 🔥🔥",tucker carlson accuses washington elite trying trump opposes longstanding pointless war agenda trump guy actual shot president dissent washington  longstanding pointless war agenda fact trying trump vote,"[('war', [4]), ('shot', [4]), ('trump', [4]), ('vote', [4]), ('president', [4]), ('fact', [4]), ('trying', [4]), ('washington', [4]), ('guy', [4]), ('tucker', [4]), ('elite', [4]), ('carlson', [4]), ('accuses', [4]), ('pointless', [4]), ('actual', [4]), ('agenda', [4]), ('opposes', [4]), ('dissent', [4]), ('longstanding', [4])]","[('war', ['Republicans vs democrats']), ('shot', ['Republicans vs democrats']), ('trump', ['Republicans vs democrats']), ('vote', ['Republicans vs democrats']), ('president', ['Republicans vs democrats']), ('fact', ['Republicans vs democrats']), ('trying', ['Republicans vs democrats']), ('washington', ['Republicans vs democrats']), ('guy', ['Republicans vs democrats']), ('tucker', ['Republicans vs democrats']), ('elite', ['Republicans vs democrats']), ('carlson', ['Republicans vs democrats']), ('accuses', ['Republicans vs democrats']), ('pointless', ['Republicans vs democrats']), ('actual', ['Republicans vs democrats']), ('agenda', ['Republicans vs democrats']), ('opposes', ['Republicans vs democrats']), ('dissent', ['Republicans vs democrats']), ('longstanding', ['Republicans vs democrats'])]"
SpeakerMcCarthy,2023-06-14 01:29:38+00:00,4,Republicans vs democrats,0.7608037,neutral,0.7870253324508667,anger,0.538397490978241,3.0,News/radio/livestream,0.1765789,Has anyone ever asked the current president why would he have a classified document outside of the SCIF from his Senate days? Has he ever been confronted with that question? https://t.co/kj6UOT2d4D,asked current president classified document outside scif senate day confronted question,"[('current', [4]), ('asked', [4]), ('day', [4]), ('outside', [4]), ('question', [4]), ('president', [4]), ('document', [4]), ('senate', [4]), ('confronted', [3]), ('classified', [4]), ('scif', [3])]","[('current', ['Republicans vs democrats']), ('asked', ['Republicans vs democrats']), ('day', ['Republicans vs democrats']), ('outside', ['Republicans vs democrats']), ('question', ['Republicans vs democrats']), ('president', ['Republicans vs democrats']), ('document', ['Republicans vs democrats']), ('senate', ['Republicans vs democrats']), ('confronted', ['News/radio/livestream']), ('classified', ['Republicans vs democrats']), ('scif', ['News/radio/livestream'])]"
laurenboebert,2023-06-14 01:32:55+00:00,4,Republicans vs democrats,0.6121117,negative,0.9256881475448608,anger,0.4677895009517669,5.0,Border/community/family,0.20659044,"Joe Biden has totally failed at his Constitutional duty to secure our Southern Border. For that reason, I have just introduced articles of impeachment to remove him from office. https://t.co/SlgmIkI4Cj",joe biden totally failed constitutional duty secure southern border reason introduced article impeachment remove office,"[('biden', [4, 1]), ('office', [4, 1]), ('joe', [4, 5]), ('reason', [4, 1]), ('border', [5, 4]), ('totally', [4, 1]), ('failed', [4, 1]), ('southern', [5, 4]), ('impeachment', [4]), ('secure', [5, 1]), ('duty', [5, 4]), ('constitutional', [4]), ('remove', [4, 1]), ('introduced', [1]), ('article', [4])]","[('biden', ['Republicans vs democrats', 'American/economics/health']), ('office', ['Republicans vs democrats', 'American/economics/health']), ('joe', ['Republicans vs democrats', 'Border/community/family']), ('reason', ['Republicans vs democrats', 'American/economics/health']), ('border', ['Border/community/family', 'Republicans vs democrats']), ('totally', ['Republicans vs democrats', 'American/economics/health']), ('failed', ['Republicans vs democrats', 'American/economics/health']), ('southern', ['Border/community/family', 'Republicans vs democrats']), ('impeachment', ['Republicans vs democrats']), ('secure', ['Border/community/family', 'American/economics/health']), ('duty', ['Border/community/family', 'Republicans vs democrats']), ('constitutional', ['Republicans vs democrats']), ('remove', ['Republicans vs democrats', 'American/economics/health']), ('introduced', ['American/economics/health']), ('article', ['Republicans vs democrats'])]"
WillHurd,2023-06-14 02:08:00+00:00,4,Republicans vs democrats,0.90261745,neutral,0.4851920306682586,fear,0.5576807260513306,6.0,Election/debate,0.013929362,One of the biggest concerns I hear from people about AI is: Will it take my job? I answer that and more questions about AI in my blog. https://t.co/IO4pdOxti2,biggest concern hear people  job answer question  blog,"[('job', [4]), ('people', [4]), ('question', [4]), ('hear', [4]), ('biggest', [4]), ('concern', [4]), ('answer', [4]), ('blog', [4])]","[('job', ['Republicans vs democrats']), ('people', ['Republicans vs democrats']), ('question', ['Republicans vs democrats']), ('hear', ['Republicans vs democrats']), ('biggest', ['Republicans vs democrats']), ('concern', ['Republicans vs democrats']), ('answer', ['Republicans vs democrats']), ('blog', ['Republicans vs democrats'])]"
jonathanvswan,2023-06-14 02:32:10+00:00,4,Republicans vs democrats,0.8747143,neutral,0.9214456677436828,anger,0.5094950795173645,6.0,Election/debate,0.017962242,RT @AlexThomp: .@kilmeade says Fox will cover Trump’s remarks live,say fox cover trump remark live,"[('trump', [4]), ('say', [4]), ('fox', [4]), ('live', [4]), ('cover', [4]), ('remark', [4])]","[('trump', ['Republicans vs democrats']), ('say', ['Republicans vs democrats']), ('fox', ['Republicans vs democrats']), ('live', ['Republicans vs democrats']), ('cover', ['Republicans vs democrats']), ('remark', ['Republicans vs democrats'])]"
AmericaNewsroom,2023-06-14 16:16:16+00:00,4,Republicans vs democrats,0.4054666,negative,0.8996419310569763,anger,0.5626612901687622,1.0,American/economics/health,0.31189233,"FMR NJ GOV CHRIS CHRISTIE RIPS FMR PRES. DONALD TRUMP ON @AMERICANEWSROOM: ""DOESN'T CARE ABOUT THE AMERICAN PEOPLE..."" ""He's a failure. He's a failed leader. We gave him a Republican House, a Republican Senate, and he failed... he failed us by losing the House, by losing the Senate, and by turning over the White House to Joe Biden, and the most liberal administration and ineffective administration since Jimmy Carter. Is that the type of leadership we want?... Do we need Donald Trump whining, moaning, and making everything about him? He doesn't care about the American people, Bill, he's putting himself first...This next administration of Donald Trump as president will be all about retribution for him personally, is that the show we want to watch? Is that the rerun of The Apprentice we want? It's not what I want.."" - @GovChristie @BillHemmer @DanaPerino",fmr  gov chris christie rip fmr pres donald trump care american people failure failed leader gave republican house republican senate failed failed losing house losing senate turning white house joe biden liberal administration ineffective administration jimmy carter type leadership want need donald trump whining moaning making care american people bill putting administration donald trump president retribution personally want watch rerun apprentice want want,"[('american', [1, 4]), ('biden', [4, 1]), ('administration', [1, 4]), ('failure', [4, 1]), ('people', [1, 4]), ('joe', [4, 1]), ('house', [4, 1]), ('donald', [4, 6]), ('making', [1, 4]), ('trump', [4, 6]), ('president', [4, 1]), ('personally', [4, 1]), ('gave', [4, 1]), ('liberal', [4, 2]), ('losing', [6, 1]), ('republican', [1, 4]), ('watch', [6, 4]), ('need', [1, 4]), ('failed', [1, 4]), ('care', [1, 4]), ('white', [4, 1]), ('want', [4, 1]), ('leadership', [1, 6]), ('bill', [1, 4]), ('senate', [6, 1]), ('leader', [4, 6]), ('whining', [1, 4]), ('turning', [4, 6]), ('chris', [4, 6]), ('putting', [1, 4]), ('gov', [4, 6]), ('rip', [4, 1]), ('christie', [4, 6]), ('type', [4, 1]), ('carter', [6]), ('jimmy', [6]), ('pres', [4, 1]), ('ineffective', [1, 5]), ('fmr', [6]), ('apprentice', [5]), ('retribution', [2]), ('rerun', [6]), ('moaning', [4])]","[('american', ['American/economics/health', 'Republicans vs democrats']), ('biden', ['Republicans vs democrats', 'American/economics/health']), ('administration', ['American/economics/health', 'Republicans vs democrats']), ('failure', ['Republicans vs democrats', 'American/economics/health']), ('people', ['American/economics/health', 'Republicans vs democrats']), ('joe', ['Republicans vs democrats', 'American/economics/health']), ('house', ['Republicans vs democrats', 'American/economics/health']), ('donald', ['Republicans vs democrats', 'Election/debate']), ('making', ['American/economics/health', 'Republicans vs democrats']), ('trump', ['Republicans vs democrats', 'Election/debate']), ('president', ['Republicans vs democrats', 'American/economics/health']), ('personally', ['Republicans vs democrats', 'American/economics/health']), ('gave', ['Republicans vs democrats', 'American/economics/health']), ('liberal', ['Republicans vs democrats', 'War']), ('losing', ['Election/debate', 'American/economics/health']), ('republican', ['American/economics/health', 'Republicans vs democrats']), ('watch', ['Election/debate', 'Republicans vs democrats']), ('need', ['American/economics/health', 'Republicans vs democrats']), ('failed', ['American/economics/health', 'Republicans vs democrats']), ('care', ['American/economics/health', 'Republicans vs democrats']), ('white', ['Republicans vs democrats', 'American/economics/health']), ('want', ['Republicans vs democrats', 'American/economics/health']), ('leadership', ['American/economics/health', 'Election/debate']), ('bill', ['American/economics/health', 'Republicans vs democrats']), ('senate', ['Election/debate', 'American/economics/health']), ('leader', ['Republicans vs democrats', 'Election/debate']), ('whining', ['American/economics/health', 'Republicans vs democrats']), ('turning', ['Republicans vs democrats', 'Election/debate']), ('chris', ['Republicans vs democrats', 'Election/debate']), ('putting', ['American/economics/health', 'Republicans vs democrats']), ('gov', ['Republicans vs democrats', 'Election/debate']), ('rip', ['Republicans vs democrats', 'American/economics/health']), ('christie', ['Republicans vs democrats', 'Election/debate']), ('type', ['Republicans vs democrats', 'American/economics/health']), ('carter', ['Election/debate']), ('jimmy', ['Election/debate']), ('pres', ['Republicans vs democrats', 'American/economics/health']), ('ineffective', ['American/economics/health', 'Border/community/family']), ('fmr', ['Election/debate']), ('apprentice', ['Border/community/family']), ('retribution', ['War']), ('rerun', ['Election/debate']), ('moaning', ['Republicans vs democrats'])]"
